athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Matheus LIMA,BRA,men_400h,2023,49.1,49.1,0.0,1,0.0,0.0,19.8
Victor COROLLER,FRA,men_400h,2021,49.74,49.11,0.63,1,0.0,0.0,25.5
Victor COROLLER,FRA,men_400h,2022,49.11,49.11,0.0,6,0.3172,0.63,25.5
Cass ELLIOTT,USA,men_400h,2023,49.13,49.13,0.0,6,0.2078,0.0,23.1
Vít MÜLLER,CZE,men_400h,2021,49.26,49.14,0.12,6,0.2189,0.0,25.8
Vít MÜLLER,CZE,men_400h,2022,49.61,49.14,0.47,6,0.141,-0.35,25.8
Vít MÜLLER,CZE,men_400h,2023,49.14,49.14,0.0,3,0.3487,0.12,25.8
Assinie WILSON,JAM,men_400h,2023,49.15,49.15,0.0,2,0.4031,0.0,21.1
Chris MCALISTER,GBR,men_400h,2021,49.16,49.16,0.0,9,0.269,0.0,25.8
Chris MCALISTER,GBR,men_400h,2022,49.36,49.16,0.2,4,0.2855,-0.2,25.8
Chris MCALISTER,GBR,men_400h,2023,49.67,49.16,0.51,2,0.1768,-0.51,25.8
Vladimir LYSENKO,RUS,men_400h,2022,49.16,49.16,0.0,3,0.3525,0.0,24.2
Ismail Doudai ABAKAR,QAT,men_400h,2022,49.48,49.18,0.3,1,0.0,0.0,19.3
Ismail Doudai ABAKAR,QAT,men_400h,2023,49.18,49.18,0.0,3,0.4086,0.3,19.3
Ja'Kwan HALE,USA,men_400h,2023,49.18,49.18,0.0,2,0.1626,0.0,
Vadim KUKALYOV,RUS,men_400h,2021,49.92,49.21,0.71,1,0.0,0.0,23.9
Vadim KUKALYOV,RUS,men_400h,2022,49.21,49.21,0.0,2,0.1273,0.71,23.9
James SMITH,USA,men_400h,2021,49.95,49.21,0.74,2,0.0283,0.0,22.0
James SMITH,USA,men_400h,2022,49.38,49.21,0.17,10,0.1479,0.57,22.0
James SMITH,USA,men_400h,2023,49.21,49.21,0.0,6,0.3077,0.17,22.0
Takayuki KISHIMOTO,JPN,men_400h,2021,49.29,49.28,0.01,4,0.3773,0.0,32.0
Takayuki KISHIMOTO,JPN,men_400h,2022,49.51,49.28,0.23,7,0.1733,-0.22,32.0
Takayuki KISHIMOTO,JPN,men_400h,2023,49.28,49.28,0.0,2,0.2333,0.01,32.0
Kariem HUSSEIN,SUI,men_400h,2021,49.29,49.29,0.0,2,0.4384,0.0,32.8
Kariem HUSSEIN,SUI,men_400h,2022,49.89,49.29,0.6,2,0.0636,-0.6,32.8
Seamus DERBYSHIRE,GBR,men_400h,2022,49.44,49.29,0.15,6,0.0929,0.0,22.6
Seamus DERBYSHIRE,GBR,men_400h,2023,49.29,49.29,0.0,4,0.2347,0.15,22.6
Kemorena TISANG,BOT,men_400h,2022,49.96,49.3,0.66,1,0.0,0.0,28.0
Kemorena TISANG,BOT,men_400h,2023,49.3,49.3,0.0,3,0.2669,0.66,28.0
Chieh CHEN,TPE,men_400h,2021,49.84,49.31,0.53,1,0.0,0.0,30.0
Chieh CHEN,TPE,men_400h,2022,49.31,49.31,0.0,4,0.29,0.53,30.0
Chieh CHEN,TPE,men_400h,2023,49.89,49.31,0.58,1,0.0,-0.58,30.0
Ayata KAGEYAMA,JPN,men_400h,2022,49.31,49.31,0.0,2,0.4808,0.0,21.6
Ming-Yang PENG,TPE,men_400h,2021,49.72,49.32,0.4,1,0.0,0.0,23.9
Ming-Yang PENG,TPE,men_400h,2022,49.32,49.32,0.0,3,0.2765,0.4,23.9
Ming-Yang PENG,TPE,men_400h,2023,49.36,49.32,0.04,2,0.1202,-0.04,23.9
Efekemo OKORO,GBR,men_400h,2021,49.34,49.34,0.0,3,0.2598,0.0,29.5
Austin WEST,USA,men_400h,2023,49.34,49.34,0.0,1,0.0,0.0,23.2
Andre CLARKE,JAM,men_400h,2021,49.38,49.35,0.03,5,0.2408,0.0,29.1
Andre CLARKE,JAM,men_400h,2022,49.35,49.35,0.0,3,0.165,0.03,29.1
Roshawn CLARKE,JAM,men_400h,2022,49.35,49.35,0.0,5,0.2017,0.0,18.0
Roshawn CLARKE,JAM,men_400h,2023,49.92,49.35,0.57,1,0.0,-0.57,18.0
Kaito TSUTSUE,JPN,men_400h,2021,49.98,49.35,0.63,1,0.0,0.0,24.8
Kaito TSUTSUE,JPN,men_400h,2022,49.65,49.35,0.3,2,0.2051,0.33,24.8
Kaito TSUTSUE,JPN,men_400h,2023,49.35,49.35,0.0,4,0.2405,0.3,24.8
Timofey CHALYY,ANA,men_400h,2022,49.36,49.36,0.0,2,0.4101,0.0,28.2
Alex KNIBBS,GBR,men_400h,2021,49.37,49.37,0.0,3,0.3245,0.0,22.2
P. YASHAS,IND,men_400h,2023,49.37,49.37,0.0,2,0.0212,0.0,21.4
Berke AKÇAM,TUR,men_400h,2021,49.38,49.38,0.0,3,0.2608,0.0,19.4
Zhiyu XIE,CHN,men_400h,2021,49.4,49.4,0.0,3,0.3005,0.0,22.3
Zhiyu XIE,CHN,men_400h,2023,49.59,49.4,0.19,3,0.1922,-0.19,22.3
Jacob PAUL,GBR,men_400h,2022,49.4,49.4,0.0,10,0.1982,0.0,27.4
Gabriele MONTEFALCONE,ITA,men_400h,2021,49.83,49.42,0.41,1,0.0,0.0,24.9
Gabriele MONTEFALCONE,ITA,men_400h,2022,49.42,49.42,0.0,3,0.2066,0.41,24.9
Gabriele MONTEFALCONE,ITA,men_400h,2023,49.43,49.42,0.01,2,0.3889,-0.01,24.9
Cory POOLE,USA,men_400h,2022,49.42,49.42,0.0,2,0.2758,0.0,22.8
Yeral NUÑEZ,DOM,men_400h,2023,49.43,49.43,0.0,1,0.0,0.0,20.3
Toshimasa KURIBAYASHI,JPN,men_400h,2023,49.45,49.45,0.0,1,0.0,0.0,21.6
Mohamed Amine TOUATI,TUN,men_400h,2021,49.48,49.48,0.0,3,0.206,0.0,22.7
Ashraf Hussen OSMAN,QAT,men_400h,2021,49.49,49.49,0.0,4,0.2056,0.0,19.6
Eric CRAY,PHI,men_400h,2021,49.68,49.49,0.19,1,0.0,0.0,33.7
Eric CRAY,PHI,men_400h,2022,49.49,49.49,0.0,3,0.2108,0.19,33.7
Eric CRAY,PHI,men_400h,2023,49.71,49.49,0.22,2,0.1202,-0.22,33.7
Santhosh Kumar TAMILARASAN,IND,men_400h,2022,49.49,49.49,0.0,4,0.2259,0.0,24.8
Santhosh Kumar TAMILARASAN,IND,men_400h,2023,49.51,49.49,0.02,2,0.0071,-0.02,24.8
Chris DOUGLAS,AUS,men_400h,2021,49.5,49.5,0.0,3,0.1401,0.0,24.1
Charles BROCKMAN,USA,men_400h,2021,49.51,49.51,0.0,9,0.1947,0.0,21.8
