athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Peninah Muthoni MUTISYA,KEN,women_800m,2023,120.78,120.78,0.0,2,0.4313,0.0,
Lucia STAFFORD,CAN,women_800m,2021,120.8,120.8,0.0,1,0.0,0.0,23.8
Lucia STAFFORD,CAN,women_800m,2022,121.1,120.8,0.3,1,0.0,-0.3,23.8
Lucia STAFFORD,CAN,women_800m,2023,121.63,120.8,0.83,1,0.0,-0.83,23.8
Rebecca MEHRA,USA,women_800m,2021,120.82,120.82,0.0,4,0.4227,0.0,26.7
Samantha WATSON,USA,women_800m,2022,120.9,120.84,0.06,3,0.052,0.0,23.0
Samantha WATSON,USA,women_800m,2023,120.84,120.84,0.0,3,0.6029,0.06,23.0
Charlotte PIZZO,FRA,women_800m,2021,120.86,120.86,0.0,6,0.319,0.0,24.1
Charlotte PIZZO,FRA,women_800m,2023,121.25,120.86,0.39,1,0.0,-0.39,24.1
Jenny SELMAN,GBR,women_800m,2021,121.64,120.86,0.78,1,0.0,0.0,30.9
Jenny SELMAN,GBR,women_800m,2022,120.86,120.86,0.0,1,0.0,0.78,30.9
Aaliyah MILLER,USA,women_800m,2021,120.87,120.87,0.0,2,0.6718,0.0,22.6
Khahisa MHLANGA,GBR,women_800m,2023,120.87,120.87,0.0,1,0.0,0.0,23.5
Julianne LABACH,CAN,women_800m,2021,120.88,120.88,0.0,4,0.4334,0.0,24.6
Naumglorious CHEPCHUMBA,KEN,women_800m,2023,120.9,120.9,0.0,1,0.0,0.0,
Mariela Luisa REAL,MEX,women_800m,2021,120.92,120.92,0.0,4,0.5892,0.0,28.2
Imogen BARRETT,AUS,women_800m,2022,121.42,120.96,0.46,2,0.1626,0.0,23.0
Imogen BARRETT,AUS,women_800m,2023,120.96,120.96,0.0,2,0.693,0.46,23.0
Janat CHEMUSTO,UGA,women_800m,2023,120.97,120.97,0.0,1,0.0,0.0,24.9
Katy-Ann MCDONALD,GBR,women_800m,2021,121.67,120.98,0.69,1,0.0,0.0,21.4
Katy-Ann MCDONALD,GBR,women_800m,2022,120.98,120.98,0.0,1,0.0,0.69,21.4
