athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Reynold BANIGO,GBR,men_LJ,2022,8.04,8.04,0.0,2,0.0283,0.0,23.8
Oscar MIERS,AUS,men_LJ,2022,8.04,8.04,0.0,1,0.0,0.0,20.5
Daiki ODA,JPN,men_LJ,2022,8.04,8.04,0.0,1,0.0,0.0,26.8
Javokhir NORIYEV,UZB,men_LJ,2021,8.03,8.03,0.0,1,0.0,0.0,20.2
Tyrone SMITH,BER,men_LJ,2021,8.03,8.03,0.0,1,0.0,0.0,36.8
Alexandrew HINTZEN,USA,men_LJ,2021,8.03,8.03,0.0,1,0.0,0.0,32.8
Piotr TARKOWSKI,POL,men_LJ,2022,8.03,8.03,0.0,1,0.0,0.0,22.8
Dhanushka SANDARUWAN,SRI,men_LJ,2022,8.03,8.03,0.0,1,0.0,0.0,28.2
Valentin TOBOC,ROU,men_LJ,2022,8.03,8.03,0.0,1,0.0,0.0,30.3
Heng SHU,CHN,men_LJ,2023,8.03,8.03,0.0,1,0.0,0.0,19.0
Matthew BOLING,USA,men_LJ,2021,8.02,8.02,0.0,1,0.0,0.0,20.8
Alexsandro MELO,BRA,men_LJ,2021,8.02,8.02,0.0,1,0.0,0.0,25.7
Treyshon MALONE,USA,men_LJ,2022,8.02,8.02,0.0,1,0.0,0.0,25.4
Benjamin GFÖHLER,SUI,men_LJ,2022,8.02,8.02,0.0,1,0.0,0.0,28.4
Necati ER,TUR,men_LJ,2022,8.02,8.02,0.0,1,0.0,0.0,25.3
Guohang WU,CHN,men_LJ,2022,8.02,8.02,0.0,1,0.0,0.0,20.6
Jeremiah WILLIS,USA,men_LJ,2023,8.02,8.02,0.0,1,0.0,0.0,
Jalen RUCKER,AUS,men_LJ,2023,8.02,8.02,0.0,1,0.0,0.0,26.1
Lokesh SATHYANATHAN,IND,men_LJ,2023,8.02,8.02,0.0,1,0.0,0.0,23.4
Fabian Ime EDOKI,NGR,men_LJ,2021,8.01,8.01,0.0,1,0.0,0.0,23.1
Mikita LAPATSENKA,BLR,men_LJ,2021,8.01,8.01,0.0,1,0.0,0.0,26.0
Artyom PRIMAK,ANA,men_LJ,2021,8.01,8.01,0.0,1,0.0,0.0,28.4
Alex FARQUHARSON,GBR,men_LJ,2021,8.01,8.01,0.0,1,0.0,0.0,24.2
Hibiki TSUHA,JPN,men_LJ,2022,8.01,8.01,0.0,1,0.0,0.0,24.4
Ho Long KO,HKG,men_LJ,2023,8.01,8.01,0.0,1,0.0,0.0,25.0
Trumaine JEFFERSON,USA,men_LJ,2021,8.0,8.0,0.0,1,0.0,0.0,26.0
Kristian PULLI,FIN,men_LJ,2022,8.0,8.0,0.0,1,0.0,0.0,27.8
James CARTER,USA,men_LJ,2022,8.0,8.0,0.0,1,0.0,0.0,
Ming Tai CHAN,HKG,men_LJ,2022,8.0,8.0,0.0,1,0.0,0.0,27.4
Marko ČEKO,CRO,men_LJ,2022,8.0,8.0,0.0,1,0.0,0.0,22.1
Shunsuke IZUMIYA,JPN,men_LJ,2022,8.0,8.0,0.0,1,0.0,0.0,22.7
Cameron CRUMP,USA,men_LJ,2023,8.0,8.0,0.0,1,0.0,0.0,
Nazim BABAYEV,AZE,men_LJ,2023,8.0,8.0,0.0,1,0.0,0.0,25.7
Tiago DA SILVA,BRA,men_LJ,2023,8.0,8.0,0.0,1,0.0,0.0,29.6
Xinyu WEI,CHN,men_LJ,2023,8.0,8.0,0.0,1,0.0,0.0,26.9
