venue,place,country,lat,lon,elevation_m,rows
"Gallur, Madrid (ESP) (i)",,,,,,42
"Gilliam Indoor Track, College Station, TX (USA) (i)",,,,,,42
"Tampa, FL (USA)",Tampa,USA,27.94752,-82.45843,10.0,41
"Shanghai Stadium, Shanghai (CHN)",Shanghai,CHN,31.22222,121.45806,7.0,41
"Hutsell-Rosen Track, Auburn, AL (USA)",Auburn,USA,42.93173,-76.56605,206.0,41
"Grand Bahama Sports Complex, Freeport (BAH)",Freeport,BAH,42.29669,-89.62123,241.0,41
"Clyde Hart Track & Field Stadium, Waco, TX (USA)",Waco,USA,31.54933,-97.14667,148.0,40
"Kuishan Sports Center, Rizhao (CHN)",Rizhao,CHN,35.41414,119.52908,29.0,40
"Scotstoun Stadium, Glasgow (GBR)",Glasgow,GBR,55.86515,-4.25763,38.0,40
"Shangyu Stadium, Shaoxing (CHN)",Shaoxing,CHN,30.00237,120.57864,7.0,40
"Avangard Stadium, Lutsk (UKR)",Lutsk,UKR,50.75784,25.35024,192.0,40
"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",Szczecin,POL,53.42894,14.55302,27.0,40
"Nishishina Athletic Stadium, Nobeoka (JPN)",Nobeoka,JPN,32.58333,131.66667,4.0,40
"Palaindoor Ancona, Ancona (ITA) (i)",,,,,,40
Jakarta (INA),Jakarta,INA,-6.21462,106.84513,18.0,39
"Štadión SNP, Banská Bystrica (SVK)",Banská Bystrica,SVK,48.73947,19.14932,379.0,39
"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",,,,,,39
"Kalinga Stadium, Bhubaneshwar (IND)",Bhubaneshwar,IND,,,,39
"Rector Fieldhouse, Blacksburg, VA (USA) (i)",,,,,,39
"Bloomington, IN (USA)",Bloomington,USA,39.16533,-86.52639,239.0,38
"Leppävaaran Stadion, Espoo (FIN)",Espoo,FIN,60.2052,24.6522,28.0,38
Zhukovskiy (RUS),Zhukovskiy,RUS,53.8904,59.012,451.0,38
"Arena Stade Couvert, Liévin (FRA) (i)",,,,,,38
"Mösle-Stadium, Götzis (AUT)",Götzis,AUT,47.33306,9.63306,425.0,37
"Stade des Grands Pêchers, Montreuil (FRA)",Montreuil,FRA,48.86415,2.44322,83.0,37
"Prefectural Stadium, Kumagaya (JPN)",Kumagaya,JPN,36.13497,139.39005,30.0,37
"Tucson, AZ (USA)",Tucson,USA,32.22174,-110.92648,758.0,37
"Stadion Allmend, Luzern (SUI)",Luzern,SUI,47.05048,8.30635,436.0,36
"Municipal Stadium, Hiroshima (JPN)",Hiroshima,JPN,34.4,132.45,8.0,36
"Fayetteville, AR (USA)",Fayetteville,USA,35.05266,-78.87836,36.0,35
"Lantos Mihály Sportközpont, Budapest (HUN)",Budapest,HUN,47.49835,19.04045,124.0,35
Kazan (RUS),Kazan,RUS,55.78874,49.12214,70.0,35
"Štark Arena, Beograd (SRB) (i)",,,,,,35
"Manchester Regional Arena, Manchester (GBR)",Manchester,GBR,53.48095,-2.23743,48.0,35
"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",Birmingham,,52.48142,-1.89983,151.0,35
"NITTAIDAI Athletic Stadium, Yokohama (JPN)",Yokohama,JPN,35.43333,139.65,26.0,35
"Aoba Park Athletic Field, Chitose (JPN)",Chitose,JPN,42.81944,141.65222,16.0,34
"QSAC State Athletics Facility, Nathan, Brisbane (AUS)",Brisbane,AUS,-27.46794,153.02809,27.0,33
"Supachalasai National Stadium, Bangkok (THA)",Bangkok,THA,13.75398,100.50144,7.0,33
"Jacksonville, FL (USA)",Jacksonville,USA,30.33218,-81.65565,6.0,33
"Slava Metreveli Stadium, Sochi (RUS)",Sochi,RUS,43.59699,39.72477,15.0,33
"Atletski stadion Poljane, Maribor (SLO)",Maribor,SLO,46.55583,15.64593,251.0,33
Patiala (IND),Patiala,IND,30.33625,76.3922,256.0,33
"Centro Sportivo Fontanassa, Savona (ITA)",Savona,ITA,44.30905,8.47715,11.0,32
"Stadio Colbachini, Padova (ITA)",Padova,ITA,44.38225,11.14261,329.0,32
"HOC Stadium, Hangzhou (CHN)",Hangzhou,CHN,30.29365,120.16142,11.0,32
"Ulinzi Sports Complex, Langata, Nairobi (KEN)",Nairobi,KEN,-1.28333,36.81667,1677.0,32
"Stadion Wankdorf, Bern (SUI)",Bern,SUI,46.94809,7.44744,554.0,32
Huelva (ESP),Huelva,ESP,37.26638,-6.94004,33.0,32
Sochi (RUS),Sochi,RUS,43.59699,39.72477,15.0,32
Cheboksary (RUS),Cheboksary,RUS,56.13218,47.246,126.0,32
Cochabamba (BOL),Cochabamba,BOL,-17.38195,-66.15995,2566.0,31
"Gainesville, FL (USA)",Gainesville,USA,29.65163,-82.32483,59.0,31
"Shuangliu Sports Centre, Chengdu (CHN)",Chengdu,CHN,30.66667,104.06667,494.0,31
Pretoria (RSA),Pretoria,RSA,-25.74486,28.18783,1321.0,30
"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",Kuortane,FIN,62.8,23.5,81.0,30
"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",Guadalajara,ESP,40.62862,-3.16185,718.0,30
Minsk (BLR),Minsk,BLR,53.90019,27.56653,226.0,30
"Jesuit High School Track, Portland, OR (USA)",Portland,USA,45.52345,-122.67621,13.0,30
"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",Castellón,ESP,39.98567,-0.04935,49.0,30
Moskva (RUS) (i),,,,,,30
"Městská sportovní hala, Hustopeče (CZE) (i)",,,,,,30
Chongqing (CHN),Chongqing,CHN,29.56026,106.55771,282.0,29
"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",Santo Domingo,DOM,18.47186,-69.89232,24.0,29
"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",Winston Salem,USA,,,,29
